zone_id,rupture_date,slope_before_log_per_step,slope_after_log_per_step,acceleration_log_per_step,growth_recent_annualized,growth_benchmark_annualized,surperf_annualized,volume_recent,confidence,n_points_used,rupture_is_recent,score
92076,2021-01-01,0.0477428418081144,0.02632992073267726,-0.021412921075437144,0.37157408686041715,0.060082902576610975,0.3114911842838062,284,1.0,16,1,0.790078263208369
92036,2021-07-01,0.015917723371866695,-0.004415480850700756,-0.02033320422256745,0.1949617003114028,0.060082902576610975,0.13487879773479183,527,1.0,16,1,0.6145455935122244
92046,2021-04-01,0.017889365461457776,0.015038061597384316,-0.00285130386407346,0.15093784726516568,0.060082902576610975,0.0908549446885547,727,1.0,16,1,0.5880036408244812
92064,2021-01-01,0.018141078554803874,0.010037867275113174,-0.0081032112796907,0.1280093108047804,0.060082902576610975,0.06792640822816942,958,1.0,16,1,0.5598231969484787
92060,2021-07-01,0.009799661020691781,0.0011983092277851374,-0.008601351792906643,0.10888835471977676,0.060082902576610975,0.048805452143165784,1010,1.0,16,1,0.5402041003502591
92009,2021-07-01,0.014528737195731568,-0.0038343337073141826,-0.01836307090304575,0.09434409106681607,0.060082902576610975,0.0342611884902051,1147,1.0,16,1,0.5158981175871593
92044,2021-01-01,0.013570627754977796,0.006164271067031652,-0.007406356687946144,0.07677585076527005,0.060082902576610975,0.016692948188659074,2801,1.0,16,1,0.509286591500713
92032,2021-04-01,0.011653944116242994,-0.003774640162661364,-0.015428584278904358,0.07055412515933224,0.060082902576610975,0.010471222582721262,546,1.0,16,1,0.4950426383038169
92071,2021-07-01,0.0033689394565022965,-0.013291634698543473,-0.01666057415504577,0.06585489478713535,0.060082902576610975,0.005771992210524379,545,1.0,16,1,0.4891114180554786
92007,2020-04-01,-0.010970649752544581,0.010410825338165982,0.02138147509071056,0.22362215460361212,0.060082902576610975,0.16353925202700115,699,0.6,16,0,0.4849207271177117
92050,2021-01-01,0.014102906009132443,0.003519543293071438,-0.010583362716061005,0.04313908654158238,0.060082902576610975,-0.01694381603502859,1429,1.0,16,1,0.4724728212489104
92023,2021-07-01,0.0065663358366759295,-0.007841935850983464,-0.014408271687659393,0.018245506382320587,0.060082902576610975,-0.04183739619429039,1736,1.0,16,1,0.4437543321180502
92004,2021-01-01,0.024876151372581267,0.001919675107579558,-0.022956476265001708,0.023303481457107145,0.060082902576610975,-0.03677942111950383,3464,1.0,16,1,0.4402641026154945
92075,2021-01-01,0.021964222674690802,0.0012714364553572746,-0.020692786219333528,0.01537422331488636,0.060082902576610975,-0.044708679261724615,919,1.0,16,1,0.43459853451894187
92022,2021-07-01,0.013886155294187337,-0.010371259159586898,-0.024257414453774235,0.0181880542009627,0.060082902576610975,-0.041894848375648275,703,1.0,16,1,0.4338477371705775
92033,2020-10-01,0.025241741979873642,0.012189566478471055,-0.013052175501402587,0.19583150411167338,0.060082902576610975,0.1357486015350624,619,0.6,16,0,0.4226964260336598
92035,2021-07-01,0.011291045116429956,-0.0016884889419693698,-0.012979534058399324,-0.006678429800314634,0.060082902576610975,-0.06676133237692561,1134,1.0,16,1,0.42025913356467504
92020,2021-07-01,0.012574797075534409,-0.008974830107106615,-0.021549627182641022,-0.011800349556190026,0.060082902576610975,-0.071883252132801,1144,1.0,16,1,0.40656712068455797
